GROUP A RESULTS


MAX COVERAGE RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| contract                                      | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
| 0xf93be1f6c7336e78f4a3859a9d01f44595a82ab4.sol | 50.57%               | 50.00% (-1.14%)      | 51.15% (+1.14%)      | 51.15% (+1.14%)      |
| 0xbb1f24c0c1554b9990222f036b0aad6ee4caec29.sol | 51.21%               | 56.40% (+10.14%)     | 59.52% (+16.22%)     | 60.90% (+18.92%)     |
| 0x4c0fbe1bb46612915e7967d2c3213cd4d87257ad.sol | 51.20%               | 58.08% (+13.42%)     | 57.04% (+11.41%)     | 58.08% (+13.42%)     |
| 0x953e22945b416730bad05009af05b420e598e412.sol | 51.63%               | 55.88% (+8.23%)      | 49.67% (-3.80%)      | 44.44% (-13.92%)     |
| 0xa3646828ae28cefcfc175efa88ecaa72e5b48cf1.sol | 43.99%               | 53.26% (+21.09%)     | 52.58% (+19.53%)     | 48.11% (+9.38%)      |
| 0x6aeb95f06cda84ca345c2de0f3b7f96923a44f4c.sol | 45.85%               | 67.87% (+48.03%)     | 67.51% (+47.24%)     | 68.23% (+48.82%)     |
| 0xd1ceeeefa68a6af0a5f6046132d986066c7f9426.sol | 29.88%               | 33.20% (+11.11%)     | 21.16% (-29.17%)     | 3.32% (-88.89%)      |
| 0xbf2179859fc6d5bee9bf9158632dc51678a4100e.sol | 31.23%               | 31.50% (+0.84%)      | 31.50% (+0.84%)      | 31.50% (+0.84%)      |
| 0x80510e56e3f2ef63c07468be6cfb8ffe2468dcc8.sol | 48.87%               | 43.86% (-10.26%)     | 41.60% (-14.87%)     | 52.13% (+6.67%)      |
| 0x4f9254c83eb525f9fcf346490bbb3ed28a81c667.sol | 41.52%               | 61.01% (+46.96%)     | 50.90% (+22.61%)     | 60.29% (+45.22%)     |
| 0xe3c51fc064053ebc5a802e6f1d2897bf457c244f.sol | 40.00%               | 45.60% (+14.00%)     | 48.80% (+22.00%)     | 44.40% (+11.00%)     |
| 0x007ac2f589eb9d4fe1cea9f46b5f4f52dab73dd4.sol | 27.92%               | 35.83% (+28.36%)     | 35.83% (+28.36%)     | 34.17% (+22.39%)     |
| 0x814f67fa286f7572b041d041b1d99b432c9155ee.sol | 34.39%               | 48.42% (+40.79%)     | 44.34% (+28.95%)     | 45.25% (+31.58%)     |
| 0x96a65609a7b84e8842732deb08f56c3e21ac6f8a.sol | 16.93%               | 18.25% (+7.81%)      | 18.25% (+7.81%)      | 17.72% (+4.69%)      |
