GROUP B RESULTS


MAX COVERAGE RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| contract                                      | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
| 0x4c29d75cc423e8adaa3839892feb66977e295829.sol | 6.94%                | 6.98% (+0.49%)       | 7.04% (+1.41%)       | 7.07% (+1.78%)       |
| 0x56f527c3f4a24bb2beba449ffd766331da840ffa.sol | 6.80%                | 7.37% (+8.30%)       | 6.92% (+1.78%)       | 7.15% (+5.08%)       |
| 0xfef5497bc53a69875e02ae5b14eeff668f09a729.sol | 5.18%                | 5.52% (+6.53%)       | 5.21% (+0.56%)       | 5.33% (+2.92%)       |
| 0x47dd62d4d075dead71d0e00299fc56a2d747bebb.sol | 5.95%                | 6.28% (+5.47%)       | 6.39% (+7.32%)       | 6.01% (+0.99%)       |
| 0x9d9832d1beb29cc949d75d61415fd00279f84dc2.sol | 0.00%                | 0.00% (0.00%)        | 0.00% (0.00%)        | 0.00% (0.00%)        |
| 0x27695e09149adc738a978e9a678f99e4c39e9eb9.sol | 6.21%                | 6.68% (+7.54%)       | 6.77% (+9.08%)       | 5.85% (-5.78%)       |
| 0x8f4d305a521a45b72b44cf96740f87a634e85143.sol | 0.00%                | 0.00% (0.00%)        | 0.00% (0.00%)        | 0.00% (0.00%)        |
| 0x64cfc7428621b2b118896670c0b4d52ab020ee6a.sol | 4.43%                | 4.53% (+2.42%)       | 4.45% (+0.61%)       | 4.56% (+2.94%)       |
| 0xc72fe8e3dd5bef0f9f31f259399f301272ef2a2d.sol | 5.86%                | 5.89% (+0.55%)       | 5.90% (+0.75%)       | 5.82% (-0.55%)       |
| 0x461733c17b0755ca5649b6db08b3e213fcf22546.sol | 6.88%                | 7.18% (+4.49%)       | 7.15% (+4.04%)       | 7.26% (+5.59%)       |
| 0x55d34b686aa8c04921397c5807db9ecedba00a4c.sol | 5.76%                | 5.74% (-0.33%)       | 5.65% (-1.81%)       | 5.75% (-0.19%)       |
| 0xff1f9c77a0f1fd8f48cfeee58b714ca03420ddac.sol | 5.90%                | 5.85% (-0.74%)       | 5.27% (-10.66%)      | 5.53% (-6.13%)       |
| 0x6f6deb5db0c4994a8283a01d6cfeeb27fc3bbe9c.sol | 6.83%                | 6.66% (-2.55%)       | 6.39% (-6.54%)       | 6.24% (-8.69%)       |
| 0x336db6c1ead9cc4d5b0a33ac03c057e20640126a.sol | 0.00%                | 0.00% (0.00%)        | 0.00% (0.00%)        | 0.00% (0.00%)        |
| 0x358d12436080a01a16f711014610f8a4c2c2d233.sol | 5.72%                | 5.84% (+2.21%)       | 5.86% (+2.42%)       | 6.06% (+6.06%)       |
| 0xf5b0a3efb8e8e4c201e2a935f110eaaf3ffecb8d.sol | 0.00%                | 0.00% (0.00%)        | 0.00% (0.00%)        | 0.00% (0.00%)        |
| 0x49aaa160506f7e07e6c3f6cd6316b6866025cdcb.sol | 7.01%                | 7.44% (+6.07%)       | 7.51% (+7.08%)       | 7.59% (+8.27%)       |
| 0xa5fd1a791c4dfcaacc963d4f73c6ae5824149ea7.sol | 6.87%                | 6.87% (-0.02%)       | 7.05% (+2.66%)       | 6.78% (-1.32%)       |
| 0x9f91b5aa41b9fbdae6877593910586484d291f05.sol | 3.88%                | 4.52% (+16.50%)      | 4.35% (+12.23%)      | 4.47% (+15.29%)      |
| 0x18dd9ae3383de623db1ea37d8da5dde1dc74d356.sol | 0.00%                | 0.00% (0.00%)        | 0.00% (0.00%)        | 0.00% (0.00%)        |
| 0x338ffc2cafc121bc83bf7a610ccc136ba7247b64.sol | 4.38%                | 4.37% (-0.26%)       | 4.43% (+1.06%)       | 4.41% (+0.78%)       |
| 0x167cb3f2446f829eb327344b66e271d1a7efec9a.sol | 10.01%               | 10.05% (+0.38%)      | 10.04% (+0.33%)      | 9.82% (-1.83%)       |
