GROUP B RESULTS


MAX COVERAGE RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| contract                                      | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
| 0x52d2e0f9b01101a59b38a3d05c80b7618aeed984.sol | N/A                  | 21.72% (-121.72%)    | 22.57% (-122.57%)    | N/A                  |
| 0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c.sol | 25.78%               | 25.78% (+0.01%)      | 25.78% (+0.02%)      | 25.78% (+0.01%)      |
| 0x610495793564aed0f9c7fc48dc4c7c9151d34fd6.sol | 16.07%               | 16.17% (+0.59%)      | 16.23% (+0.99%)      | 16.37% (+1.87%)      |
| 0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37.sol | 16.86%               | 17.53% (+3.99%)      | 17.50% (+3.80%)      | 17.29% (+2.54%)      |
| 0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6.sol | 11.33%               | 11.24% (-0.74%)      | 11.42% (+0.83%)      | 11.26% (-0.62%)      |
| 0xe82f0742a71a02b9e9ffc142fdcb6eb1ed06fb87.sol | 17.65%               | 17.34% (-1.76%)      | 17.89% (+1.33%)      | 17.67% (+0.07%)      |
| etherstore.sol                                | 22.08%               | 23.12% (+4.72%)      | 23.46% (+6.24%)      | 23.69% (+7.30%)      |
| etherpot_lotto.sol                            | 11.77%               | 12.00% (+1.97%)      | 12.03% (+2.26%)      | 11.57% (-1.68%)      |
| 0x39cfd754c85023648bf003bea2dd498c5612abfa.sol | 17.51%               | 17.72% (+1.24%)      | N/A                  | 17.61% (+0.62%)      |
| 0x39cfd754c85023648bf003bea2dd498c5612abfa.sol | 17.51%               | 17.72% (+1.24%)      | N/A                  | 17.61% (+0.62%)      |
| 0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol | 20.35%               | 20.54% (+0.94%)      | 19.68% (-3.30%)      | 19.45% (-4.42%)      |
| mishandled.sol                                | 66.61%               | 66.62% (+0.01%)      | 66.62% (+0.01%)      | 66.62% (+0.01%)      |
| reentrance.sol                                | 24.83%               | 24.14% (-2.78%)      | 24.30% (-2.12%)      | 24.94% (+0.45%)      |
| 0x524960d55174d912768678d8c606b4d50b79d7b1.sol | 66.59%               | 66.58% (-0.02%)      | 66.58% (-0.02%)      | 66.59% (-0.01%)      |
| 0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol | 19.55%               | 20.40% (+4.34%)      | N/A                  | 19.40% (-0.75%)      |
| 0x610495793564aed0f9c7fc48dc4c7c9151d34fd6.sol | 16.07%               | 16.17% (+0.59%)      | 16.23% (+0.99%)      | 16.37% (+1.87%)      |
