AVERAGE RESULTS


TRANSACTION COUNT RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| count                                         | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
----------------------------------------------------------------------------------------------------------------------------------------------
| transaction_count                             | 1415.10              | 1460.90 (+3.24%)     | 1465.11 (+3.53%)     | 1295.51 (-8.45%)     |
----------------------------------------------------------------------------------------------------------------------------------------------


MAX COVERAGE RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| contract                                      | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
----------------------------------------------------------------------------------------------------------------------------------------------
| 0xb620cee6b52f96f3c6b253e6eea556aa2d214a99.sol | 8.42%                | 8.39% (-0.38%)       | 8.35% (-0.84%)       | 8.39% (-0.32%)       |
| 0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7.sol | 35.12%               | 34.96% (-0.43%)      | 34.85% (-0.77%)      | 34.45% (-1.89%)      |
| 0xbaa3de6504690efb064420d89e871c27065cdd52.sol | 19.14%               | 18.97% (-0.85%)      | 19.04% (-0.49%)      | 19.37% (+1.24%)      |
| 0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol | 16.10%               | 16.12% (+0.13%)      | 16.22% (+0.75%)      | 16.32% (+1.37%)      |
| 0xbebbfe5b549f5db6e6c78ca97cac19d1fb03082c.sol | 19.25%               | 19.48% (+1.17%)      | 18.90% (-1.84%)      | 19.13% (-0.63%)      |
| 0xd2018bfaa266a9ec0a1a84b061640faa009def76.sol | 18.04%               | 17.92% (-0.66%)      | 17.57% (-2.61%)      | 17.82% (-1.19%)      |
| 0xd5967fed03e85d1cce44cab284695b41bc675b5c.sol | 64.15%               | 65.81% (+2.58%)      | 66.64% (+3.88%)      | 67.09% (+4.58%)      |
| 0xdb1c55f6926e7d847ddf8678905ad871a68199d2.sol | 17.85%               | 17.91% (+0.36%)      | N/A                  | 17.66% (-1.02%)      |
| 0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf.sol | 17.79%               | 17.35% (-2.48%)      | 17.29% (-2.84%)      | 17.32% (-2.63%)      |
| 0xe82f0742a71a02b9e9ffc142fdcb6eb1ed06fb87.sol | 17.75%               | 17.21% (-3.04%)      | 17.52% (-1.28%)      | 17.53% (-1.21%)      |
| 0xe894d54dca59cb53fe9cbc5155093605c7068220.sol | 66.05%               | 67.98% (+2.92%)      | 65.56% (-0.74%)      | 67.78% (+2.62%)      |
| 0xec329ffc97d75fe03428ae155fc7793431487f63.sol | 10.30%               | 10.28% (-0.17%)      | N/A                  | 10.30% (+0.02%)      |
| 0xf2570186500a46986f3139f65afedc2afe4f445d.sol | N/A                  | 61.93% (-161.93%)    | 61.27% (-161.27%)    | N/A                  |
| 0xf29ebe930a539a60279ace72c707cba851a57707.sol | 32.29%               | 30.45% (-5.70%)      | 30.80% (-4.61%)      | 30.96% (-4.09%)      |
| 0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e.sol | 17.19%               | 16.47% (-4.17%)      | 17.23% (+0.24%)      | 17.32% (+0.77%)      |
| blackjack.sol                                 | 11.29%               | 11.23% (-0.46%)      | 11.16% (-1.11%)      | 11.33% (+0.41%)      |
| etheraffle.sol                                | 11.78%               | 11.90% (+1.02%)      | 10.11% (-14.20%)     | 11.13% (-5.56%)      |
| etherbank.sol                                 | 32.09%               | 31.98% (-0.34%)      | 32.01% (-0.26%)      | 31.27% (-2.56%)      |
| etherpot_lotto.sol                            | 12.10%               | 12.13% (+0.29%)      | 11.84% (-2.10%)      | 11.73% (-3.05%)      |
| etherstore.sol                                | 22.33%               | 23.77% (+6.42%)      | 23.25% (+4.09%)      | 23.85% (+6.80%)      |
| guess_the_random_number.sol                   | 0.00%                | 0.00% (0.00%)        | 0.00% (0.00%)        | 0.00% (0.00%)        |
| king_of_the_ether_throne.sol                  | 8.28%                | 8.10% (-2.12%)       | 8.00% (-3.42%)       | 8.09% (-2.34%)       |
| lottery.sol                                   | 17.42%               | 14.08% (-19.20%)     | 18.46% (+5.99%)      | 18.38% (+5.52%)      |
| lotto.sol                                     | 19.43%               | 19.43% (-0.01%)      | 19.43% (-0.00%)      | 19.43% (-0.00%)      |
| lucky_doubler.sol                             | 7.14%                | 7.09% (-0.65%)       | 7.14% (+0.02%)       | 7.15% (+0.19%)       |
| mishandled.sol                                | 66.62%               | 66.62% (+0.00%)      | 66.62% (+0.00%)      | 66.62% (+0.00%)      |
